清理後評論內容,分詞結果
"10月19 10月20中華職棒冠軍賽人數有三到四萬人退場的時候往捷運站方向由B2連結到捷運站
人比較多建議可以走在外圍1樓直接往國父紀念館方向有電梯下到捷運站
販賣的小吃多在B1內野看台的上面
這兩天提供的餐點都算充足也有飲水機
因為是週末很多餐廳都已開幕生意也很好
1樓的全家大巨蛋店大排長龍建議可在周圍便利店購買","10月 19  10月 20 中華 職棒 冠軍賽 人數 有 三 到 四萬 人 退場 的 時候 往 捷運站 方向 由 B2 連結 到 捷運站 
 人 比較 多 建議 可以 走 在 外圍 1樓 直接 往 國父 紀念館 方向 有 電梯 下到 捷運站 
 販賣 的 小吃 多 在 B1 內野 看台 的 上面 
 這 兩 天 提供 的 餐點 都 算 充足 也 有 飲水機 
 因為 是 週末 很多 餐廳 都 已 開幕 生意 也 很 好 
 1樓 的 全家 大 巨蛋店 大排長龍 建議 可 在 周圍 便利店 購買"
"冷氣滿強的室內運動場不受天氣干擾場內外有不少好吃的選擇可以企業包區也有很多不同種門票還不錯
座位區門禁管制嚴格沒有票或是手環工作人員不會給你跨區入座
假如有類似國外那種到座位區賣現擠生啤酒跟零食就更棒了","冷氣 滿 強 的 室 內 運動場 不 受 天氣 干擾 場 內外 有 不少 好吃 的 選擇 可以 企業 包區 也 有 很多 不 同 種 門票 還 不錯 
 座位區 門禁 管制 嚴格 沒有 票 或是 手環 工作 人員 不會 給 你 跨 區 入座 
 假如 有 類似 國外 那 種 到 座位區 賣 現 擠 生啤酒 跟 零食 就 更 棒 了"
"台灣最厲害的棒球場

台灣這種炎熱的天氣可以吹著冷氣看球是一大幸福
場地可容納三萬以上的人
屢屢創下職棒觀看人數的紀錄
希望台灣的棒球環境能夠因這座巨大更成長一層
整個球場的外環走道是一整圈的
從內野一路連通至外野
出入口有分很多區
動線上還有一些進步空間
上下手扶梯只有一個稍嫌擁擠
餐飲櫃位沒有太多選擇
座位還算舒適也設有飲料杯架
期待中職聯盟能夠多在此舉辦更多比賽
也期許其他地區也能蓋出高水準的巨蛋
讓我們的棒球更上一層
加油","台灣 最 厲害 的 棒球場 
 
 台灣 這 種 炎熱 的 天氣 可以 吹 著 冷氣 看 球 是 一 大 幸福 
 場地 可 容納 三萬 以上 的 人 
 屢屢 創下 職棒 觀看 人數 的 紀錄 
 希望 台灣 的 棒球 環境 能夠 因 這 座 巨大 更 成長 一 層 
 整 個 球場 的 外環 走道 是 一 整 圈 的 
 從 內野 一路 連通 至 外野 
 出入口 有 分 很多 區 
 動線 上 還 有 一些 進步 空間 
 上下手 扶梯 只 有 一 個 稍嫌 擁擠 
 餐飲 櫃位 沒有 太多 選擇 
 座位 還 算 舒適 也 設有 飲料 杯架 
 期待 中職聯盟 能夠 多 在 此 舉辦 更多 比賽 
 也 期許 其他 地區 也 能 蓋出 高水準 的 巨蛋 
 讓 我們 的 棒球 更 上 一 層 
 加油"
"大巨蛋富邦球迷來了國防部長張育成今日開轟帥氣新洋投藍力大殺四方MVP舞跳得不錯現場有啤酒喝又有賽後八三夭演唱會可以看還有髮香區李雅英辣妹臉蛋身材好顏值高三振舞人生苦短跟著應援曲唱一唱跳一跳度過愉快的週末

今天富邦贏球證明我沒有帶賽我有主場優勢

富邦賽後演唱會真的超讚請來八三夭樂團演出音響配備投影燈及噴火噴霧一絕值回票價","大巨蛋 富邦 球迷 來 了 國防部長 張育成 今日 開轟 帥氣 新 洋投 藍力 大 殺 四方 MVP 舞 跳 得 不錯 現場 有 啤酒 喝 又 有 賽 後 八三夭 演唱會 可以 看 還 有 髮香區 李雅英 辣妹 臉蛋 身材 好 顏值 高 三振舞 人生 苦 短 跟著 應援曲 唱 一 唱 跳 一 跳 度過 愉快 的 週末 
 
 今天 富邦 贏 球 證明 我 沒有 帶 賽 我 有 主場 優勢 
 
 富邦 賽 後 演唱會 真的 超讚 請來 八三夭 樂團 演出 音響 配備 投影燈 及 噴火 噴霧 一絕 值回票價"
"台北大巨蛋觀賽體驗
台北大巨蛋優於新莊棒球場優於桃園棒球場優於台中洲際棒球場
搭捷運到國父紀念館站走5號出口就會看到棒球元素的圖像指標5號出口大概是球場的左外野區域走出站口後沿右側走可看到一樓的餐飲店陸續開幕
到達正門口內野區要在走樓梯下樓到B1有設置手扶梯電梯給行動不便者使用台北大巨蛋的內野等於是向下挖的架構平面的1樓入口就是大巨蛋場內2樓的位置
一進門就能感受到冷氣空調的強大待久還會覺得冷走道寬敞館內佈置餐飲店有炸雞披薩手搖杯便利超商但便利小超商只會販售幾樣的熱門商品
廁所算乾淨但空間不大超過10人就需排隊
現場有很多的工作人員可以詢問服務
位置區域都有編號標示很好找
座位的位置寬敞腳不會踢到前排座椅
有人要走過只需腳內縮一下就能通過
不會像在電影院般的還要起身讓過
杯架設在前排座位的背後右手邊
一開賽大螢幕會先播放逃生路口
今天坐內野區本壘正後方
真的感覺像在電影院吹著冷氣
欣賞好看的又懷念的龍象大戰","台北 大 巨蛋 觀賽 體驗 
 台北 大 巨蛋 優於 新莊 棒球場 優於 桃園 棒球場 優於 台中 洲際 棒球場 
 搭 捷運 到 國父 紀念館站 走 5號 出口 就 會 看到 棒球 元素 的 圖像 指標 5號 出口 大概 是 球場 的 左外野 區域 走出 站口 後 沿 右側 走 可 看到 一樓 的 餐飲店 陸續 開幕 
 到達 正門口 內野區 要 在 走 樓梯 下樓 到 B1 有 設置 手扶梯 電梯 給 行動 不便 者 使用 台北 大 巨蛋 的 內野 等於是 向 下 挖 的 架構 平面 的 1樓 入口 就 是 大 巨蛋 場 內 2樓 的 位置 
 一 進 門 就 能 感受到 冷氣 空調 的 強大 待 久 還 會 覺得 冷 走道 寬敞 館 內 佈置 餐飲店 有 炸雞 披薩 手搖杯 便利 超商 但 便利 小 超商 只 會 販售 幾 樣 的 熱門 商品 
 廁所 算 乾淨 但 空間 不 大 超過 10 人 就 需 排隊 
 現場 有 很多 的 工作 人員 可以 詢問 服務 
 位置 區域 都 有 編號 標示 很 好 找 
 座位 的 位置 寬敞 腳 不會 踢到 前 排 座椅 
 有 人 要 走過 只 需 腳 內 縮 一 下 就 能 通過 
 不會 像 在 電影院 般 的 還要 起身 讓 過 
 杯架設 在 前 排 座位 的 背後 右手 邊 
 一 開賽 大 螢幕 會 先 播放 逃生 路口 
 今天 坐 內野區 本壘 正後方 
 真的 感覺 像 在 電影院 吹 著 冷氣 
 欣賞 好看 的 又 懷念 的 龍象 大戰"
"台北大巨蛋位在捷運國父紀念館站與捷運站有一個連通道非常方便並且有明確指示大巨蛋的方向不用擔心迷路

優點
1場內有冷氣溫度還算舒服可以一邊看棒球一邊吹冷氣真的很不錯
2內野體感還不錯可以很清楚看到整個球場

缺點
1大螢幕看板太小加上棒球資訊很複雜螢幕上的字看的很吃力
2動線太爛電扶梯在中間上下各只有一台太家都在擠電扶梯然而樓梯左右各一個然後還沒辦法通到B1一樓大廳還很小整個設計很沒考慮到意外發生疏散人潮的樣子","台北 大 巨蛋 位在 捷運 國父 紀念館站 與 捷運站 有 一 個 連 通道 非常 方便 並且 有 明確 指示 大 巨蛋 的 方向 不用 擔心 迷路 

 優點 
1 場 內 有 冷氣 溫度 還 算 舒服 可以 一邊 看 棒球 一邊 吹 冷氣 真的 很 不錯 
2 內野 體感 還 不錯 可以 很 清楚 看到 整 個 球場 

 缺點 
1 大 螢幕 看板 太 小 加上 棒球 資訊 很 複雜 螢幕 上 的 字 看 的 很 吃力 
2 動線 太 爛 電扶梯 在 中間 上下 各 只有 一 台 太家 都 在 擠 電扶梯 然而 樓梯 左右 各 一 個 然後 還 沒辦法 通到 B1 一樓 大廳 還 很 小 整 個 設計 很 沒 考慮到 意外 發生 疏散 人潮 的 樣子"
人生第一次看棒球比賽能夠踏入大巨蛋現場這裡的冷氣和整體裝潢都不錯雖然我也沒有別的球場可以比較但是大巨蛋給我感覺很不錯我已經走了二圈呢這是一個很好的走路場所原諒我棒球沒有什麼很注意看就是在健走運動一直在球場各個角度觀看其實每個地方看比賽還真的很開心,人生 第一 次 看 棒球 比賽 能夠 踏入 大 巨蛋 現場 這裡 的 冷氣 和 整體 裝潢 都 不錯 雖然 我 也 沒有 別的 球場 可以 比較 但是 大 巨蛋 給 我 感覺 很 不錯 我 已經 走 了 二 圈 呢 這 是 一 個 很 好 的 走路 場所 原諒 我 棒球 沒有 什麼 很 注意 看 就是 在 健走 運動 一直 在 球場 各 個 角度 觀看 其實 每 個 地方 看 比賽 還 真的 很 開心
"大巨蛋整體建築很美
地下美食街入口有點遠
一樓餐廳看起來都很高級
期待下次去看球賽","大 巨蛋 整體 建築 很 美 
 地下 美食街 入口 有點 遠 
 一樓 餐廳 看起來 都 很 高級 
 期待 下 次 去 看 球賽"
有大巨蛋真好在暴雨的這天還可以好好的看個球賽4萬人雖然很多但是整體動線還算流暢裡面廁所也很多有機會一定會再來,有 大 巨蛋 真 好 在 暴雨 的 這 天 還可以 好好 的 看 個 球賽 4萬 人 雖然 很多 但是 整體 動線 還 算 流暢 裡面 廁所 也 很多 有 機會 一定 會 再 來
"第一次來到大巨蛋看球
視野超級爽
可能是我都買B1位置
而且還可以跟球星有近距離互動
最近若是主場在大巨蛋的球隊
幾乎都會請明星藝人來表演
看得超級爽
至從富邦開啟了頂級音響
其他球隊也陸續跟進
再來
就是地點方便
在國父紀念館站出來就是
目前週邊食物也有陸續增加
最後一個優勢
對於小資族
若有搭乘捷運來小巨蛋
要找一個
捷運減免的機器
可以退還搭捷運的錢","第一 次 來到 大巨蛋 看 球 
 視野 超級 爽 
 可能 是 我 都 買 B1 位置 
 而且 還可以 跟 球星 有 近距離 互動 
 最近 若是 主場 在 大巨蛋 的 球隊 
 幾乎 都 會 請 明星 藝人 來 表演 
 看 得 超級 爽 
 至 從 富邦 開啟 了 頂級 音響 
 其他 球隊 也 陸續 跟進 
 再來 
 就是 地點 方便 
 在 國父 紀念館 站 出來 就是 
 目前 週邊 食物 也 有 陸續 增加 
 最後 一 個 優勢 
 對於 小資族 
 若 有 搭乘 捷運 來 小巨蛋 
 要 找 一 個 
 捷運 減免 的 機器 
 可以 退還 搭 捷運 的 錢"
"20247初訪分享
大雨天能在大巨蛋看球賽實在太開心了
回想過去多少因雨暫停的比賽
舒服地坐在室內座位上已無比滿足
本次臨時購票只能在遙遠的樓上
連轉播螢幕都覺得小啊
有機會下次要坐在一樓內野
餐飲選擇雖然有限但價格合理
店家也會推著食物和飲料到不同的走道
洗手間非常乾淨
值得球迷們多多進場","20247 初訪 分享 
 大雨天 能 在 大巨蛋 看 球賽 實在 太 開心 了 
 回想 過去 多少 因 雨 暫停 的 比賽 
 舒服 地 坐 在 室 內 座位 上 已 無比 滿足 
 本 次 臨時 購 票 只 能 在 遙遠 的 樓上 
 連 轉播 螢幕 都 覺得 小 啊 
 有 機會 下 次 要 坐 在 一樓 內野 
 餐飲 選擇 雖然 有限 但 價格 合理 
 店家 也 會 推 著 食物 和 飲料 到 不同 的 走道 
 洗手間 非常 乾淨 
 值得 球迷 們 多多 進場"
"第一次去大巨蛋我們座位在L2 204區以下是個人感想與意見

優點
整體來說大部分感覺都很好空調舒適對夏天看球賽來說是一大福音
走道和動線也都還不錯球賽結束後離場動線算順暢不會水洩不通83進場人數最高
女廁雖然排隊排很長但不會等太久每個洗手台都有一罐洗手乳這點很棒

缺點
音響有最大的進步空間在現場可能只有應援區聽得清楚主持人說話204區是偏旁邊的內野座位區完全聽不清楚主持人在講什麼回音很重聲音都是糊的一直到最後的演唱會有另外架設喇叭才好很多
座位前後排間距有點窄中途想上廁所只能側身慢慢跟人家借過走出去
吃的東西沒有很多餐廳也很少建議進場前先買好吃的
販賣部人潮多到爆會排到懷疑人生若想購買兄弟周邊商品建議先上網購買
入口只有一個從捷運站出來還要繞大半圈才到入口處","第一 次 去 大 巨蛋 我們 座位 在 L2 204區 以下 是 個人 感想 與 意見 
 
 優點 
 整體 來 說 大部分 感覺 都 很 好 空調 舒適 對 夏天 看 球賽 來 說 是 一 大 福音 
 走道 和 動線 也 都 還 不錯 球賽 結束 後 離場 動線 算 順暢 不會 水洩不通 83 進場 人數 最 高 
 女廁 雖然 排隊 排 很 長 但 不會 等 太 久 每 個 洗手台 都 有 一 罐 洗手乳 這 點 很 棒 
 
 缺點 
 音響 有 最 大 的 進步 空間 在 現場 可能 只有 應援區 聽 得 清楚 主持人 說話 204 區 是 偏 旁邊 的 內野 座位區 完全 聽 不 清楚 主持人 在 講 什麼 回音 很 重 聲音 都 是 糊 的 一直 到 最後 的 演唱會 有 另外 架設 喇叭 才 好 很多 
 座位 前後 排 間距 有點 窄 中途 想 上 廁所 只 能 側身 慢慢 跟 人家 借 過 走出去 
 吃 的 東西 沒有 很多 餐廳 也 很少 建議 進場 前 先 買 好吃 的 
 販賣部 人潮 多 到 爆 會 排到 懷疑 人生 若 想 購買 兄弟 周邊 商品 建議 先 上網 購買 
 入口 只 有 一 個 從 捷運站 出來 還要 繞 大半 圈 才 到 入口處"
"夏天可以吹冷氣看棒球就是爽
搭捷運去看棒球最方便了省時又安全還不用煩惱停車問題
我覺得坐在樓上更好界外球比較多可以接之外視野更開闊
可以拍照的地方實在太多太好拍了","夏天 可以 吹 冷氣 看 棒球 就是 爽 
 搭 捷運 去 看 棒球 最 方便 了 省時 又 安全 還 不用 煩惱 停車 問題 
 我 覺得 坐 在 樓上 更 好 界外球 比較 多 可以 接 之外 視野 更 開闊 
 可以 拍照 的 地方 實在 太多 太 好 拍 了"
"有幸參與到周思齊的引退
當天真的留下了非常美好的回憶
大巨蛋外野的位置還蠻舒適的
廁所動線什麼的也都很不錯
燈光也不至於太過刺眼
會願意進來大巨蛋看球賽或演唱會","有幸 參與 到 周思齊 的 引退 
 當天 真的 留下 了 非常 美好 的 回憶 
 大 巨蛋 外野 的 位置 還 蠻 舒適 的 
 廁所 動線 什麼 的 也 都 很 不錯 
 燈光 也 不至於 太過 刺眼 
 會 願意 進來 大 巨蛋 看 球賽 或 演唱會"
第一次開箱大巨蛋也是第一次現場看中華職棒在這兒看球賽很享受不用擔心天氣過熱或是下雨整體來說都很棒下次還會再進大巨蛋看球賽,第一 次 開箱 大 巨蛋 也 是 第一 次 現場 看 中華 職棒 在 這兒 看 球賽 很 享受 不用 擔心 天氣 過 熱 或是 下雨 整體 來 說 都 很 棒 下 次 還 會 再 進 大 巨蛋 看 球賽
佔地廣大每次舉辦球賽都人滿為患熱鬧非凡但附設的餐廳地下街百貨賣場影城尚在陸續完工中或是尚未開業若是想來逛街購物等百貨正式開幕後再來即可,佔地 廣大 每 次 舉辦 球賽 都 人滿為患 熱鬧 非凡 但 附設 的 餐廳 地下街 百貨 賣場 影城 尚 在 陸續 完工 中 或是 尚未 開業 若是 想 來 逛街 購物 等 百貨 正式 開幕 後 再 來 即可
"WOW Fabulous 超時尚超新穎超現代化大巨蛋

室內空間有空調很舒適
只是這麼大的空間空調營造出這舒適溫度非常感恩

廁所很新穎乾淨
隨著人潮進進出出維持相當水準不容易

見識高速攝影機判斷01秒些許誤差
讚嘆科技力量
假以時日搭配AI輔助判斷那更是驚為天人

交通便利 停車場捷運公共汽車Youbike滿足各族群需求

期待一步步完善愈來愈多廠商進駐有更多外國朋友參觀提昇國際知名度共生共榮
打造完善棒球生態系成為世界頂級球場之一

期待大巨蛋獲得國際性建築獎

台灣之光台灣加油","WOW  Fabulous   超時尚 超 新穎 超現代化 大 巨蛋 
 
 室 內 空間 有 空調 很 舒適 
 只是 這麼 大 的 空間 空調 營造出 這 舒適 溫度 非常 感恩 
 
 廁所 很 新穎 乾淨 
 隨著 人潮 進進出出 維持 相當 水準 不 容易 
 
 見識 高速 攝影機 判斷 01 秒 些許 誤差 
 讚嘆 科技 力量 
 假以時日 搭配 AI 輔助 判斷 那 更 是 驚為天人 
 
 交通 便利   停車場 捷運 公共汽車 Youbike 滿足 各 族群 需求 
 
 期待 一步步 完善 愈來愈 多 廠商 進駐 有 更多 外國 朋友 參觀 提昇 國際 知名度 共生 共榮 
 打造 完善 棒球 生態系 成為 世界 頂級 球場 之 一 
 
 期待 大 巨蛋 獲得 國際性 建築獎 
 
 台灣 之 光 台灣 加油"
"整體環境8分10分

1 動線規劃清楚
2 旁邊停車位齊全
3 很多店面還在籌備當中但表示都很清楚
4 充滿個性特色的建築環境清幽位於市中心之外附近很多景點和活動可以一起完成旅遊目的","整體 環境 8 分 10 分 

1  動線 規劃 清楚 
2  旁邊 停車位 齊全 
3  很多 店面 還 在 籌備 當中 但 表示 都 很 清楚 
4  充滿 個性 特色 的 建築 環境 清幽 位於 市中心 之外 附近 很多 景點 和 活動 可以 一起 完成 旅遊 目的"
"冷氣很強
視野非常好
廁所很多
螢幕夠大
B1動線較擁擠
食物的攤販價格偏高建議外面先買好再進場

整體來說是個很不錯的場地
也希望這座巨蛋能夠越來越好

2024720明星賽","冷氣 很 強 
 視野 非常 好 
 廁所 很多 
 螢幕 夠 大 
B1 動線 較 擁擠 
 食物 的 攤販 價格 偏 高 建議 外面 先 買好 再 進場 
 
 整體 來 說 是 個 很 不錯 的 場地 
 也 希望 這 座 巨蛋 能夠 越來越 好 

2024720 明星賽"
今年已經進場兩次了L1B1都座過冷氣都很冷能風雨無阻的看棒球賽真的是蠻幸福的o_O,今年 已經 進場 兩 次 了 L1B1 都 座 過 冷氣 都 很 冷 能 風雨無阻 的 看 棒球賽 真的 是 蠻 幸福 的 o_O
第一次到大巨蛋參加國慶晚會場面很壯觀場地很大指引較不足 最好讓大家能就近找到入口才不會繞來繞去,第一 次 到 大 巨蛋 參加 國慶 晚會 場面 很 壯觀 場地 很 大 指引 較 不足   最好 讓 大家 能 就近 找到 入口 才 不會 繞來繞去
從捷運站就看到動線指示動線規劃設計清楚值得肯定大巨蛋人潮眾多步道寬度夠不會擁塞人流流動順廣播清楚冷氣足在這裡看球賽很舒服,從 捷運站 就 看到 動線 指示 動線 規劃 設計 清楚 值得 肯定 大 巨蛋 人潮 眾多 步道 寬度 夠 不會 擁塞 人流 流動 順 廣播 清楚 冷氣 足 在 這裡 看 球賽 很 舒服
冷氣強要帶外套館內標示清楚洗手間夠應付多人使用用餐有多種選擇棒球後的演唱可惜音響效果不好,冷氣 強 要 帶 外套 館 內 標示 清楚 洗手間 夠 應付 多 人 使用 用餐 有 多 種 選擇 棒球 後 的 演唱 可惜 音響 效果 不 好
如果不想太悶熱建議坐2樓冷氣蠻涼的邊喝9看球賽蠻chill的很幸運這次演出嘉賓是告五人,如果 不 想 太 悶熱 建議 坐 2樓 冷氣 蠻 涼 的 邊 喝 9 看 球賽 蠻 chill 的 很 幸運 這 次 演出 嘉賓 是 告 五 人
"1這輩子一定要去一次大巨蛋看比賽
2有捷運
3散場時不算擁擠
4冷氣爆冷","1 這 輩子 一定 要 去 一 次 大 巨蛋 看 比賽 
2 有 捷運 
3 散場 時 不 算 擁擠 
4 冷氣 爆冷"
"真的很值得來大巨蛋體驗一下非常熱血大熱天看棒球不怕下雨又有冷氣吹坐在風口快冷死動線都還算流暢指標也算清楚一進來看到那個場面真的會不自主的哇場面很震撼尤其一起加油的時候根本就是環繞音響裡面有販賣部吃喝都有但價位很高建議可以買外食再帶進來就好不然排隊也是要排很久位置有設置輪椅區觀看的地方覺得蠻貼心的

交通
國父紀念館站5號出口步行約5分鐘即可抵達建議可搭乘捷運很方便如自行開車前往出來會塞爆

也有6線免費接駁專車可搭乘松山車站線臺北101世貿線松山機場線捷運忠孝復興線捷運公館線及臺北車站線","真的 很 值得 來 大 巨蛋 體驗 一下 非常 熱血 大 熱天 看 棒球 不 怕 下雨 又 有 冷氣 吹 坐 在 風口 快 冷 死 動線 都 還 算 流暢 指標 也 算清楚 一 進來 看到 那 個 場面 真的 會 不自主 的 哇 場面 很 震撼 尤其 一起 加油 的 時候 根本 就 是 環繞 音響 裡面 有 販賣部 吃 喝 都 有 但 價位 很 高 建議 可以 買 外食 再 帶進來 就 好 不然 排隊 也 是 要 排 很 久 位置 有 設置 輪椅區 觀看 的 地方 覺得 蠻 貼心 的 
 
 交通 
 國父 紀念館站 5號 出口 步行 約 5 分鐘 即可 抵達 建議 可 搭乘 捷運 很 方便 如 自行 開車 前往 出來 會 塞爆 

 也 有 6 線 免費 接駁 專車 可 搭乘 松山 車站線 臺北 101 世貿線 松山機場線 捷運 忠孝 復興線 捷運 公館線 及 臺北 車站線"
20241022到訪臺灣大賽711vs中信場地不錯 冷氣夠冷視野很好,20241022 到 訪 臺灣 大賽 711 vs 中信 場地 不錯   冷氣 夠 冷 視野 很 好
"建造多年
從我讀松山高中時期就動工
到現在我從美國讀完碩士回台兩年後
才終於蓋好
中間風風雨雨
總算蓋出室內棒球場
整體體驗非常好
台灣棒球啦啦隊文化盛行
讓大家都專注在看辣妹
真的和美國MLB有很大的差異
台灣職業棒球真的需要打得再專注
更有張力才可以
日後這兒也要舉辦演唱會
讓台北市更加繁榮富強
吸引各大樂團來台
裡頭可以設置一些更具吸引力的餐廳
會更有吸引力球迷入場","建造 多 年 
 從 我 讀 松山 高中 時期 就 動工 
 到 現在 我 從 美國 讀完 碩士 回 台 兩 年 後 
 才 終於 蓋好 
 中間 風風雨雨 
 總算 蓋出 室 內 棒球場 
 整體 體驗 非常 好 
 台灣 棒球 啦啦隊 文化 盛行 
 讓 大家 都 專注 在 看 辣妹 
 真的 和 美國 MLB 有 很 大 的 差異 
 台灣 職業 棒球 真的 需要 打 得 再 專注 
 更 有 張力 才 可以 
 日後 這兒 也 要 舉辦 演唱會 
 讓 台北市 更加 繁榮 富強 
 吸引 各 大 樂團 來 台 
 裡頭 可以 設置 一些 更 具 吸引力 的 餐廳 
 會 更 有 吸引力 球迷 入場"
"解鎖大巨蛋
潘威倫引退當了一日球員L2內野區聽到的回音啥也聽不懂
可惜引退沒有拿下150勝留下了遺憾最後電視牆出現賴清德總統的影片超有亮點","解鎖 大 巨蛋 
 潘威倫 引退 當 了 一 日 球員 L2 內野區 聽到 的 回音 啥 也 聽 不 懂 
 可惜 引退 沒有 拿下 150 勝 留下 了 遺憾 最後 電視牆 出現 賴清德 總統 的 影片 超 有 亮點"
大巨蛋本身場館設施都還在水準之上不過螢幕真的可以再大一點一樓的每個區域要看球應該視野都很好看球的時候球場內餐飲可能沒有那麼方便也許需要自備飲水和食物,大 巨蛋 本身 場館 設施 都 還 在 水準 之上 不過 螢幕 真的 可以 再 大 一點 一樓 的 每 個 區域 要 看 球 應該 視野 都 很 好看 球 的 時候 球場 內 餐飲 可能 沒有 那麼 方便 也許 需要 自備 飲水 和 食物
座椅舒服 走道寬敞 男女廁所很多 裡面吃的東西也很多 國父紀念館捷運5號出口一出來就到了 非常方便,座椅 舒服   走道 寬敞   男女 廁所 很多   裡面 吃 的 東西 也 很多   國父 紀念館 捷運 5號 出口 一 出來 就 到 了   非常 方便
"第一次看到真的很開闊 能在這種球場看球多花點門票錢也值得
尤其現在六月了 天氣悶熱只想去巨蛋球場看球

二樓視野很好比起一樓遼闊很多 票價也便宜
但喜歡加油氣氛的建議還是去一樓二樓觀眾太淡定了","第一 次 看到 真的 很 開闊   能 在 這 種 球場 看 球 多 花 點 門票錢 也 值得 
 尤其 現在 六月 了   天氣 悶熱 只 想 去 巨蛋 球場 看 球 
 
 二樓 視野 很 好 比起 一樓 遼闊 很多   票價 也 便宜 
 但 喜歡 加油 氣氛 的 建議 還是 去 一樓 二樓 觀眾 太 淡定 了"
"從職棒元年盼到現在
足足35年終於完工落成
也終於盼到我喵的主場
特地從高雄遠道而來
沒有讓人失望

可以在涼涼的冷氣裡看棒球
只能用舒服來形容
非常非常的享受其中
非常推薦在二樓的視野
一覽無遺又不會太遠
票價也相對的便宜","從 職棒 元年 盼 到 現在 
 足足 35 年 終於 完工 落成 
 也 終於 盼到 我 喵 的 主場 
 特地 從 高雄 遠道而來 
 沒有 讓 人 失望 
 
 可以 在 涼涼 的 冷氣 裡 看 棒球 
 只 能 用 舒服 來 形容 
 非常 非常 的 享受 其中 
 非常 推薦 在 二樓 的 視野 
 一覽無遺 又 不會 太 遠 
 票價 也 相對 的 便宜"
"大巨蛋我終於來了
利用中職有主場的賽程
剛好小孩也暑休
安排個3天兩夜的行程造訪心儀許久的大巨蛋
雖然大巨蛋已建造一段時間
也在電視上看過轉播
但是還是親身感受一下才是爽啊
看個球賽有涼爽的冷氣不怕風吹日曬
視野開闊音響設備先進購買零食也方便
交通便利捷運站就在出口
比ㄧ般傳統球場真的是好上好幾倍啊
千言萬語也無法形容造訪的感動
唯一覺得要改善的是動線標示
畢竟幅員遼闊標示不清是很麻煩
不過這是小瑕疵
下次有賽程有機會的話
仍然會想再來
真的值得","大 巨蛋 我 終於 來 了 
 利用 中職 有 主場 的 賽程 
 剛好 小孩 也 暑休 
 安排 個 3 天 兩 夜 的 行程 造訪 心儀 許久 的 大 巨蛋 
 雖然 大 巨蛋 已 建造 一 段 時間 
 也 在 電視 上 看 過 轉播 
 但是 還是 親身 感受 一下 才 是 爽 啊 
 看 個 球賽 有 涼爽 的 冷氣 不 怕 風 吹 日曬 
 視野 開闊 音響 設備 先進 購買 零食 也 方便 
 交通 便利 捷運站 就 在 出口 
 比 ㄧ般 傳統 球場 真的 是 好上 好幾 倍 啊 
 千言萬語 也 無法 形容 造訪 的 感動 
 唯一 覺得 要 改善 的 是 動線 標示 
 畢竟 幅員 遼闊 標示 不清是 很 麻煩 
 不過 這 是 小 瑕疵 
 下 次 有 賽程 有 機會 的話 
 仍然 會 想 再 來 
 真的 值得"
大巨蛋交通算是很便捷的一出國父紀念館站就可入場也有捷運補貼費廁所也很方便冷氣看球真的還不錯但是不清楚環境到底歸誰管租金抽成居高不下但是打掃我覺得有待加強這次台灣大賽G1坐在外野2樓一進場那灰塵真的讓鼻子不舒服地一層的灰本壘正對外野的黑部真的是髒,大 巨蛋 交通 算是 很 便捷 的 一 出 國父 紀念館 站 就 可 入場 也 有 捷運 補貼費 廁所 也 很 方便 冷氣 看 球 真的 還 不錯 但是 不 清楚 環境 到底 歸 誰 管 租金 抽成 居高不下 但是 打掃 我 覺得 有待 加強 這 次 台灣 大賽 G1 坐 在 外野 2樓 一 進場 那 灰塵 真的 讓 鼻子 不 舒服 地 一 層 的 灰 本壘 正 對 外野 的 黑部 真的 是 髒
"進到裡面只能用哇哇哇來形容
硬體設施很讚工作人員也很親切在這看球賽真的很幸福有大聯盟的FU讚啦","進到 裡面 只 能 用 哇哇哇 來 形容 
 硬體 設施 很 讚 工作 人員 也 很 親切 在 這 看 球賽 真的 很 幸福 有 大聯盟 的 FU 讚 啦"
"位置好交通方便捷運站沒有跟下沉式廣場有遮雨避陽的通道相接有些可惜
大雨宣洩沒有算好截水溝的排水量還蠻好笑的極端氣候的評估沒有放在設計規劃內
室內看球溫度很舒服也不用擔心下雨停賽
但內野座位區位置真的太窄啦
想起身走出大概全排的人都要起身了","位置 好 交通 方便 捷運站 沒有 跟 下沉式 廣場 有 遮雨 避陽 的 通道 相接 有些 可惜 
 大雨 宣洩 沒有 算好 截水溝 的 排水量 還 蠻 好笑 的 極端 氣候 的 評估 沒有 放 在 設計 規劃 內 
 室 內 看 球 溫度 很 舒服 也 不用 擔心 下雨 停賽 
 但 內野 座位區 位置 真的 太 窄 啦 
 想 起身 走出 大概 全 排 的 人 都 要 起身 了"
